Email ID,Response
100,"Subject: Order Confirmation - WHITE HANGING HEART T-LIGHT HOLDER

Dear [Customer's Name],

Thank you for shopping with us!

We are pleased to inform you that your order for 3 unit(s) of WHITE HANGING HEART T-LIGHT HOLDER has been successfully processed. Your items are now being prepared for shipment.

Here are the details of your order for your reference:
- Order Number: [Your Order Number]
- Item: WHITE HANGING HEART T-LIGHT HOLDER"
101,"Subject: Order Confirmation - WHITE METAL LANTERN

Dear [Customer's Name],

We are pleased to inform you that your order for 4 unit(s) of WHITE METAL LANTERN has been successfully processed. Thank you for shopping with us!

Your order details are as follows:
- Product: WHITE METAL LANTERN
- Quantity: 4 units

We will notify you once your order has been shipped. In the meantime, if you have any questions or need further assistance"
102,"Subject: Confirmation of Your Order for CREAM CUPID HEARTS COAT HANGER

Dear [Customer's Name],

Thank you for your recent purchase!

We are pleased to inform you that your order for 1 unit(s) of the CREAM CUPID HEARTS COAT HANGER has been successfully processed. Our team is excited to get your item packed and shipped to you as promptly as possible.

Here are the details of your order:
- Item: CREAM CUPID HEARTS COAT"
103,"Subject: Order Confirmation - KNITTED UNION FLAG HOT WATER BOTTLE

Dear [Customer's Name],

Thank you for your recent order with us! We are pleased to inform you that your order for 3 unit(s) of KNITTED UNION FLAG HOT WATER BOTTLE has been successfully processed.

Here are the details of your order:

Order Number: [Order Number]
Product: KNITTED UNION FLAG HOT WATER BOTTLE
Quantity: 3

Your items will be carefully"
104,"Subject: Order Confirmation - Your RED WOOLLY HOTTIE WHITE HEART

Dear [Customer's Name],

Thank you for shopping with us!

This email is to inform you that your order for 1 unit of the RED WOOLLY HOTTIE WHITE HEART has been successfully processed. We are currently preparing your item for shipment, and you will receive a notification with tracking details once your order has been dispatched.

If you have any questions or need further assistance, please do not hesitate to reach out"
105,"Subject: Order Confirmation - SET 7 BABUSHKA NESTING BOXES

Dear [Customer's Name],

Thank you for your order!

We are delighted to inform you that your order for 4 unit(s) of SET 7 BABUSHKA NESTING BOXES has been successfully processed.

Your order details are as follows:
- Product: SET 7 BABUSHKA NESTING BOXES
- Quantity: 4 units

You will receive a notification once your items are shipped"
106,"Subject: Order Confirmation for GLASS STAR FROSTED T-LIGHT HOLDER

Dear [Customer's Name],

Thank you for your purchase!

We are pleased to inform you that your order for 4 unit(s) of the GLASS STAR FROSTED T-LIGHT HOLDER has been successfully processed. Your order details are as follows:

- **Product Name:** GLASS STAR FROSTED T-LIGHT HOLDER
- **Quantity:** 4
- **Order Status:** Successfully Process"
107,"Subject: Your Order Has Been Successfully Processed

Dear [Customer's Name],

Thank you for shopping with us!

We are pleased to inform you that your order for 2 units of the HAND WARMER UNION JACK has been successfully processed. Your items are now being prepared for shipment, and we will notify you once they are on their way.

Order Details:
- Item: HAND WARMER UNION JACK
- Quantity: 2 units

If you have any questions or need further assistance,"
108,"Subject: Order Confirmation - HAND WARMER RED POLKA DOT

Dear [Customer's Name],

Thank you for shopping with us at [Your Company Name]! We are pleased to inform you that your order for 2 unit(s) of the HAND WARMER RED POLKA DOT has been successfully processed.

Order Details:
- Product: HAND WARMER RED POLKA DOT
- Quantity: 2
- Order Number: [Your Order Number]
- Expected Delivery Date: [Expected Delivery"
109,"Subject: Order Confirmation: ASSORTED COLOUR BIRD ORNAMENT

Dear [Customer's Name],

Thank you for shopping with us!

We are pleased to inform you that your order for 1 unit of ASSORTED COLOUR BIRD ORNAMENT has been successfully processed. Your order is now being prepared for shipment, and we will notify you once it has been dispatched.

Order Details:
- Item: ASSORTED COLOUR BIRD ORNAMENT
- Quantity: 1"
110,"Subject: Order Confirmation - POPPY'S PLAYHOUSE BEDROOM

Dear [Customer's Name],

Thank you for your recent purchase from our store!

We are pleased to inform you that your order for 3 unit(s) of POPPY'S PLAYHOUSE BEDROOM has been successfully processed. Our team is currently preparing your items for shipment, and you will receive a notification with tracking details once your order has been dispatched.

If you have any questions or need further assistance, please feel free to reply to this"
111,"Subject: Order Confirmation: POPPY'S PLAYHOUSE KITCHEN

Dear [Customer's Name],

Thank you for your order!

We are pleased to inform you that your order for 2 unit(s) of POPPY'S PLAYHOUSE KITCHEN has been successfully processed.

Order Details:
- Product: POPPY'S PLAYHOUSE KITCHEN
- Quantity: 2 units

Your items will be carefully packaged and shipped soon. You will receive another notification with the tracking details once your order is"
112,"Subject: Order Confirmation - FELTCRAFT PRINCESS CHARLOTTE DOLL

Dear [Customer's Name],

We are delighted to inform you that your order for 1 unit of the FELTCRAFT PRINCESS CHARLOTTE DOLL has been successfully processed.

Thank you for choosing us for your purchase. Your order details are as follows:

- Product: FELTCRAFT PRINCESS CHARLOTTE DOLL
- Quantity: 1 unit

You will receive another email"
113,"Subject: Order Confirmation - IVORY KNITTED MUG COSY

Dear [Customer's Name],

Thank you for shopping with us!

We are pleased to inform you that your order for 4 unit(s) of IVORY KNITTED MUG COSY has been successfully processed. Your items are now being prepared for shipment, and you will receive a notification with tracking details once they are on their way to you.

If you have any questions or need further assistance, please do not hesitate to"
114,"Subject: Order Confirmation - BOX OF 6 ASSORTED COLOUR TEASPOONS

Dear [Customer's Name],

Thank you for shopping with us! We are pleased to inform you that your order for 4 unit(s) of the BOX OF 6 ASSORTED COLOUR TEASPOONS has been successfully processed.

Your order details are as follows:
- Order Number: [Your Order Number]
- Item: BOX OF 6 ASSORTED COLOUR TEASPOONS"
115,"Subject: Order Confirmation - BOX OF VINTAGE JIGSAW BLOCKS

Dear [Customer's Name],

Thank you for your recent purchase!

We are pleased to inform you that your order for 5 unit(s) of BOX OF VINTAGE JIGSAW BLOCKS has been successfully processed. Your items are now being prepared for shipment, and you will receive another notification once your order has been dispatched, including tracking information.

We appreciate your business and hope you enjoy your purchase. If"
116,"Subject: Order Confirmation: BOX OF VINTAGE ALPHABET BLOCKS

Dear [Customer's Name],

Thank you for your recent purchase!

We are pleased to inform you that your order for 5 unit(s) of BOX OF VINTAGE ALPHABET BLOCKS has been successfully processed. Your items are now being prepared for shipment.

You will receive another email with the tracking information once your order has been dispatched.

If you have any questions or need further assistance, please don't hesitate to contact"
117,"Subject: Confirmation of Your Order for HOME BUILDING BLOCK WORD

Dear [Customer's Name],

We hope this email finds you well!

We are pleased to inform you that your order for 3 units of ""HOME BUILDING BLOCK WORD"" has been successfully processed. Thank you for choosing our products, and we are excited to have the opportunity to serve you.

Here are the details of your order:
- Product: HOME BUILDING BLOCK WORD
- Quantity: 3 units
- Order Number:"
118,"Subject: Order Confirmation: LOVE BUILDING BLOCK WORD

Dear [Customer's Name],

Thank you for your order!

We are pleased to inform you that your order for 3 unit(s) of LOVE BUILDING BLOCK WORD has been successfully processed. Our team is now preparing your items for shipment.

Order Summary:
- Product: LOVE BUILDING BLOCK WORD
- Quantity: 3 units

You will receive another email once your items have been dispatched, which will include the tracking information. If you have"
